id;paisagem;coleta;amostra;pH;EC;OD;TDS;Temp;ColF;ColT;Sol;Turb;PT;Nit;Nitra;fma;ca;sil;NumP;MPS;ED;TE;MPE;MSI
>80FB15;1;1;1;6.5;15;7.51;8;18.2;80;240;0.1;0.71;0;0;0.074;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;1;2;6.5;15;7.51;8;18.2;80;240;0.1;0.63;0;0;0.075;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;1;3;6.5;15;7.51;8;18.2;80;240;0.1;0.75;0;0;0.074;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;2;1;7.57;17;7.28;8;19.6;80;0;0.2;0.89;0;0;0.093;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;2;2;7.57;17;7.28;8;19.6;80;0;0.1;0.82;0;0;0.082;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;2;3;7.57;17;7.28;8;19.6;80;0;0.15;0.93;0;0;0.074;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;3;1;8.49;14;6.26;7;22;0;0;0.1;1.91;0;0;0.055;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;3;2;8.49;14;6.26;7;22;0;0;0.1;0.91;0;0;0.069;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;3;3;8.49;14;6.26;7;22;0;0;0.1;1.17;0;0;0.077;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;4;1;8.52;15;6.08;7;21.7;80;1360;0.1;1.01;0;0;0.055;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;4;2;8.52;15;6.08;7;21.7;80;1360;0.2;1.24;0;0.0017;0.043;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;4;3;8.52;15;6.08;7;21.7;80;1360;0.15;0.7;0;0;0.053;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;5;1;6.8;16;6.2;8;17.3;0;960;0;0.84;0;0;0.122;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;5;2;6.8;16;6.2;8;17.3;0;960;0.6;0.86;0;0;0.123;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB15;1;5;3;6.8;16;6.2;8;17.3;0;960;0.3;0.86;0;0;0.115;92.68;4.08;14.46;11;34.8;1.658;24706.162;2246.015;3.48
>80FB16;2;1;1;7.06;17;6.61;8;16.8;80;1840;0.1;0.65;0;0;0.08;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;1;2;7.06;17;6.61;8;16.8;80;1840;0.1;0.65;0;0;0.074;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;1;3;7.06;17;6.61;8;16.8;80;1840;0.1;0.6;0;0;0.083;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;2;1;7.37;17;7.76;9;19.1;0;880;0.1;0.64;0;0;0.123;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;2;2;7.37;17;7.76;9;19.1;0;880;0.1;0.43;0;0;0.106;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;2;3;7.37;17;7.76;9;19.1;0;880;0.1;0.48;0;0;0.114;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;3;1;8.94;17;6.03;8;20.8;80;800;0;1.02;0;0;0.106;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;3;2;8.94;17;6.03;8;20.8;80;800;0;1.03;0;0;0.056;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;3;3;8.94;17;6.03;8;20.8;80;800;0;1.05;0;0;0.098;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;4;1;9.47;18;6.31;9;21.1;0;1200;0;0.77;0;0;0.077;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;4;2;9.47;18;6.31;9;21.1;0;1200;0.1;0.6;0;0;0.066;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;4;3;9.47;18;6.31;9;21.1;0;1200;0.05;0.43;0;0;0.067;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;5;1;7;18;6.56;9;16.8;160;640;1.4;0.87;0;0;0.152;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;5;2;7;18;6.56;9;16.8;160;640;2.3;0.53;0;0;0.139;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB16;2;5;3;7;18;6.56;9;16.8;160;640;1.85;0.89;0;0;0.143;90.42;1.3;0;10;31.481;1.359;20261.968;2026.197;2.808
>80FB20;3;1;1;7.86;30;8.34;16;16.2;640;10640;2.2;2.51;0;0;0.104;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;1;2;7.86;30;8.34;16;16.2;640;10640;1.2;2.48;0;0;0.085;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;1;3;7.86;30;8.34;16;16.2;640;10640;1.7;2.47;0;0;0.283;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;2;1;7.25;23;7.58;12;19.4;400;4560;0.8;1.22;0;0;0.082;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;2;2;7.25;23;7.58;12;19.4;400;4560;0.8;1.23;0;0;0.075;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;2;3;7.25;23;7.58;12;19.4;400;4560;0.8;1.11;0;0;0.066;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;3;1;7.43;24;6.37;12;21.6;80;480;0.5;4.73;0;0.003;0.045;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;3;2;7.43;24;6.37;12;21.6;80;480;2.2;4.14;0;0.002;0.05;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;3;3;7.43;24;6.37;12;21.6;80;480;1.35;3.99;0.012;0.001;0.05;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;4;1;7.43;24;6.45;12;21.7;0;480;1.8;1.81;0;0.003;0.027;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;4;2;7.43;24;6.45;12;21.7;0;480;1.1;1.76;0;0.004;0.031;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;4;3;7.43;24;6.45;12;21.7;0;480;1.45;1.76;0;0.002;0.023;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;5;1;7.2;24;6.52;12;19.3;80;480;0.7;1.03;0.016;0;0.119;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;5;2;7.2;24;6.52;12;19.3;80;480;6.3;1.06;0;0.002;0.117;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
>80FB20;3;5;3;7.2;24;6.52;12;19.3;80;480;3.5;1.03;0;0;0.104;100;7.77;0;10;45.659;1.845;27497.675;2749.767;1.625
60F30CB13;4;1;1;7.3;30;6.86;15;16.3;400;2320;5.11;4.19;0;0.001;0.034;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;1;2;7.3;30;6.86;15;16.3;400;2320;4.6;5.33;0;0.002;0.042;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;1;3;7.3;30;6.86;15;16.3;400;2320;4.86;5;0;0.003;0.043;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;2;1;7.51;32;6.38;16;16.4;160;1120;0.17;5.1;0;0;0.034;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
60F30CB13;4;2;2;7.51;32;6.38;16;16.4;160;1120;2.5;5.35;0;0;0.023;78.45;32.08;0.13;32;7.368;3.495;52096.287;1628.009;1.85
