paisg;pH;EC;OD;TDS;Sol;Turb;Temp;ColF;ColT;PT;Nitri;Nitra;NumP;MPS;ED;TE;MPE;MSI
1;7.58;15.4;6.666;7.6;0.16;0.984428571;19.76;32;512;0;0;0.079;11;34.8;1.66;24706.162;2246.015;3.48
2;7.97;17.4;6.654;8.6;0.43;0.779380952;18.92;64;1072;0;0;0.099;10;31.48;1.36;20261.968;2026.197;2.808
3;8.23;25;7.052;12.8;1.761578947;2.268904762;19.64;240;3328;0;0.001;0.084;10;45.65;1.85;27497.675;2749.767;1.625
4;7.91;30;5.582;15;3.671111111;6.7066;19.72;496;2368;0.003;0.003;0.065;32;7.368;3.495;52096.287;1628.009;1.85
5;7.95;19.4;7.006;9.8;0.25;1.341238095;18.62;32;720;0;0.001;0.06;28;22.714;3.709;55280.276;1974.296;1.967
6;7.95;29;6.716;14.6;0.84;2.039285714;20.48;160;992;0;0.003;0.034;9;21.066;1.565;23325.486;2591.721;2.301
7;8.28;28.8;6.586;14.4;7.899428571;17.65814286;17.54;176;752;0.028;0.004;0.083;29;22.177;5.463;81420.633;2807.608;2.183
8;8.11;23.6;6.674;12;1.446912281;2.710190476;18.02;32;288;0.004;0.001;0.083;18;19.19;3.447;51369.491;2853.861;2.525
9;8.04;35.8;9.066;18;9.134642857;21.90704762;20.24;4816;15392;0.026;0.012;0.121;25;24.108;3.465;51646.609;2065.864;5.598
10;8.5;64.4;5.756;32.2;3.995027322;10.13614286;18.94;304;1088;0.003;0.004;0.05;16;25.266;2.608;38876.291;2429.768;1.724
11;8.12;36.8;5.314;18.2;1.29;10.8247619;21;608;1776;0.007;0.001;0.105;62;28.511;9.544;142240.402;2294.2;1.937
12;7.9;46;5.616;22.6;3.934166667;6.904595238;21.32;272;1456;0.039;0.008;0.04;36;29.87;6.367;94898.912;2636.081;3.764
13;7.66;97.2;2.096;48.8;3.3075;10.79547619;21.5;48;1664;0.006;0.006;0.048;14;38.699;2.361;35182.658;2513.047;1.663
14;8.25;68.4;4.396;34;2.43;5.072380952;20.64;464;4816;0.013;0.004;0.089;52;28.646;8.842;131790.491;2534.433;3.462
15;8.62;84.67;5.41;42.3;4.823809524;10.51587302;22.1;213;1733.333333;0.01;0.003;0.079;22;16.069;2.591;38611.831;1755.083;1.755
16;8.6;37.4;6.642;18.8;1.757222222;3.834071429;17.74;144;2128;0;0.001;0.072;13;33.651;2.045;30475.247;2344.25;1.745
17;8.41;30.2;5.324;15.2;10.85;26.57174603;19.8;15413;60000;0.021;0.006;0.213;92;22.237;15.889;236807.845;2573.998;3.977
18;8.42;25.4;5.624;12.4;4.683333333;7.521111111;21.2;107;3493.333333;0.006;0.002;0.091;22;20.92;3.83;57079.539;2594.524;1.786
19;8.11;33.4;5.972;16.6;13.77647059;30.095;17.8;80;1184;0.032;0.004;0.097;13;10.325;1.811;26992.966;2076.382;1.935
20;7.62;43.4;3.67;22.2;1.363333333;6.915571429;18.68;112;800;0;0.001;0.016;14;21.165;2.802;41762.026;2983.002;1.961
21;7.78;39.2;4.336;18.8;5.029047619;15.90552381;19.54;48;1184;0;0.004;0.015;9;14.732;0.98;14608.146;1623.127;1.692
22;8.1;56.2;5.722;28;4.684285714;13.83695238;20.16;384;1760;0.01;0.006;0.112;22;36.047;4.467;66572.92;3026.042;2.036
23;7.83;48.2;4.544;24;4.141960784;6.846761905;19.48;304;2784;0.004;0.003;0.064;25;11.224;2.995;44639.504;1785.58;1.709
24;7.77;23.2;5.332;11.4;78.51111111;160.0334921;21.8;266.6666667;10026.66667;0.078;0.067;0.358;32;7.014;3.224;48045.418;1501.419;5.152
25;7.89;58.8;4.498;29.4;11.45333333;14.08466667;20.74;19408;23088;0.055;0.006;0.086;9;10.894;0.899;13395.481;1488.387;1.834
26;7.68;60.8;3.874;31;7.51;11.91904762;21.8;80;1264;0.004;0.004;0.077;30;13.552;3.654;54459.175;1815.306;1.595
27;8.62;36;5.954;18;2.688888889;12.53761905;20.5;133.3333333;1226.666667;0.006;0.006;0.052;6;26.002;0.784;11683.605;1947.268;1.696
